Temp,logg,[Fe/H],Alpha,Band,Resolution,vsini,Sampling,Quality,Cond1,Cond2,Cond3,correctflag
 4200, 4.0,  0.0, 0.0, 2.2,  60000,  5.0, 3.0,   2819,  17.3,  74.3,  18.5, 0
 4200, 4.0,  0.0, 0.0, 2.2,  60000, 10.0, 3.0,   1497,  32.4, 128.1,  34.7, 0
 4200, 4.0,  0.0, 0.0, 1.02,  60000,  1.0, 3.0,   4331,   9.1,  11.1,   9.3, 0
 4200, 4.0,  0.0, 0.0, 1.02,  60000,  5.0, 3.0,   2663,  14.8,  18.2,  15.0, 0
 4200, 4.0,  0.0, 0.0, 1.02,  60000, 10.0, 3.0,   1337,  29.4,  36.5,  29.8, 0
 4200, 4.0,  0.0, 0.0, 0.9,  75000,  1.0, 3.0,   5853,   5.5,   9.6,   5.7, 0
 4200, 4.0,  0.0, 0.0, 0.9,  75000,  5.0, 3.0,   3423,   9.4,  16.4,   9.7, 0
 4200, 4.0,  0.0, 0.0, 0.9,  75000, 10.0, 3.0,   1808,  17.7,  30.0,  18.3, 0
 4200, 4.0,  0.0, 0.0, 1.25,  75000,  1.0, 3.0,   3379,   9.1,  26.6,   9.6, 0
 4200, 4.0,  0.0, 0.0, 1.25,  75000,  5.0, 3.0,   2050,  15.0,  47.5,  15.8, 0
 4200, 4.0,  0.0, 0.0, 1.25,  75000, 10.0, 3.0,   1117,  27.5,  96.6,  29.0, 0
 4200, 4.0,  0.0, 0.0, 1.65,  75000,  1.0, 3.0,   6371,   4.4,   7.5,   4.6, 0
 4200, 4.0,  0.0, 0.0, 1.65,  75000,  5.0, 3.0,   3931,   7.2,  12.0,   7.4, 0
 4200, 4.0,  0.0, 0.0, 1.65,  75000, 10.0, 3.0,   2099,  13.4,  22.5,  13.8, 0
 4200, 4.0,  0.0, 0.0, 2.2,  75000,  1.0, 3.0,   5286,   8.3,  37.6,   8.9, 0
 4200, 4.0,  0.0, 0.0, 2.2,  75000,  5.0, 3.0,   3094,  14.1,  60.9,  15.1, 0
 4200, 4.0,  0.0, 0.0, 2.2,  75000, 10.0, 3.0,   1550,  28.1, 110.8,  30.0, 0
 4200, 4.0,  0.0, 0.0, 1.02,  75000,  1.0, 3.0,   5479,   6.5,   7.8,   6.5, 0
 4200, 4.0,  0.0, 0.0, 1.02,  75000,  5.0, 3.0,   2941,  12.0,  14.7,  12.2, 0
 4200, 4.0,  0.0, 0.0, 1.02,  75000, 10.0, 3.0,   1393,  25.2,  31.3,  25.6, 0
 4200, 4.0,  0.0, 0.0, 0.9,  80000,  1.0, 3.0,   6171,   5.0,   8.8,   5.2, 0
 4200, 4.0,  0.0, 0.0, 0.9,  80000,  5.0, 3.0,   3493,   8.9,  15.6,   9.2, 0
 4200, 4.0,  0.0, 0.0, 0.9,  80000, 10.0, 3.0,   1822,  17.0,  28.9,  17.6, 0
 4200, 4.0,  0.0, 0.0, 1.25,  80000,  1.0, 3.0,   3552,   8.4,  24.4,   8.9, 0
 4200, 4.0,  0.0, 0.0, 1.25,  80000,  5.0, 3.0,   2090,  14.3,  45.1,  15.1, 0
 4200, 4.0,  0.0, 0.0, 1.25,  80000, 10.0, 3.0,   1125,  26.4,  92.7,  27.8, 0
 4200, 4.0,  0.0, 0.0, 1.65,  80000,  1.0, 3.0,   6665,   4.1,   6.9,   4.2, 0
 4200, 4.0,  0.0, 0.0, 1.65,  80000,  5.0, 3.0,   4008,   6.8,  11.4,   7.0, 0
 4200, 4.0,  0.0, 0.0, 1.65,  80000, 10.0, 3.0,   2115,  12.9,  21.6,  13.2, 0
 4200, 4.0,  0.0, 0.0, 2.2,  80000,  1.0, 3.0,   5546,   7.6,  34.7,   8.2, 0
 4200, 4.0,  0.0, 0.0, 2.2,  80000,  5.0, 3.0,   3161,  13.4,  57.8,  14.3, 0
 4200, 4.0,  0.0, 0.0, 2.2,  80000, 10.0, 3.0,   1563,  26.9, 106.5,  28.8, 0
 4200, 4.0,  0.0, 0.0, 1.02,  80000,  1.0, 3.0,   5835,   5.9,   7.1,   6.0, 0
 4200, 4.0,  0.0, 0.0, 1.02,  80000,  5.0, 3.0,   3010,  11.4,  13.9,  11.5, 0
 4200, 4.0,  0.0, 0.0, 1.02,  80000, 10.0, 3.0,   1407,  24.2,  30.0,  24.6, 0
 4200, 4.0,  0.0, 0.0, 0.9, 100000,  1.0, 3.0,   7258,   3.8,   6.7,   4.0, 0
 4200, 4.0,  0.0, 0.0, 0.9, 100000,  5.0, 3.0,   3693,   7.5,  13.1,   7.8, 0
 4200, 4.0,  0.0, 0.0, 0.9, 100000, 10.0, 3.0,   1860,  14.9,  25.3,  15.4, 0
 4200, 4.0,  0.0, 0.0, 1.25, 100000,  1.0, 3.0,   4145,   6.5,  18.2,   6.8, 0
 4200, 4.0,  0.0, 0.0, 1.25, 100000,  5.0, 3.0,   2204,  12.1,  37.8,  12.8, 0
 4200, 4.0,  0.0, 0.0, 1.25, 100000, 10.0, 3.0,   1147,  23.2,  80.6,  24.4, 0
 4200, 4.0,  0.0, 0.0, 1.65, 100000,  1.0, 3.0,   7629,   3.2,   5.4,   3.3, 0
 4200, 4.0,  0.0, 0.0, 1.65, 100000,  5.0, 3.0,   4228,   5.8,   9.7,   5.9, 0
 4200, 4.0,  0.0, 0.0, 1.65, 100000, 10.0, 3.0,   2159,  11.3,  18.9,  11.6, 0
 4200, 4.0,  0.0, 0.0, 2.2, 100000,  1.0, 3.0,   6387,   5.9,  27.1,   6.4, 0
 4200, 4.0,  0.0, 0.0, 2.2, 100000,  5.0, 3.0,   3354,  11.3,  48.9,  12.1, 0
 4200, 4.0,  0.0, 0.0, 2.2, 100000, 10.0, 3.0,   1597,  23.6,  93.1,  25.2, 0
 4200, 4.0,  0.0, 0.0, 1.02, 100000,  1.0, 3.0,   7109,   4.3,   5.2,   4.4, 0
 4200, 4.0,  0.0, 0.0, 1.02, 100000,  5.0, 3.0,   3210,   9.5,  11.6,   9.7, 0
 4200, 4.0,  0.0, 0.0, 1.02, 100000, 10.0, 3.0,   1445,  21.1,  26.1,  21.4, 0
 4200, 4.0,  0.5, 0.0, 0.9,  60000,  1.0, 3.0,   5802,   6.2,  11.1,   6.5, 0
 4200, 4.0,  0.5, 0.0, 0.9,  60000,  5.0, 3.0,   3795,   9.5,  16.9,   9.9, 0
 4200, 4.0,  0.5, 0.0, 0.9,  60000, 10.0, 3.0,   2078,  17.3,  30.0,  17.9, 0
 4200, 4.0,  0.5, 0.0, 1.25,  60000,  1.0, 3.0,   3523,   9.8,  27.0,  10.3, 0
 4200, 4.0,  0.5, 0.0, 1.25,  60000,  5.0, 3.0,   2370,  14.6,  41.7,  15.3, 0
 4200, 4.0,  0.5, 0.0, 1.25,  60000, 10.0, 3.0,   1333,  25.8,  78.5,  27.1, 0
 4200, 4.0,  0.5, 0.0, 1.65,  60000,  1.0, 3.0,   6336,   5.1,   8.6,   5.2, 0
 4200, 4.0,  0.5, 0.0, 1.65,  60000,  5.0, 3.0,   4258,   7.6,  12.6,   7.8, 0
 4200, 4.0,  0.5, 0.0, 1.65,  60000, 10.0, 3.0,   2380,  13.5,  22.5,  13.8, 0
 4200, 4.0,  0.5, 0.0, 2.2,  60000,  1.0, 3.0,   5074,   9.8,  40.1,  10.5, 0
 4200, 4.0,  0.5, 0.0, 2.2,  60000,  5.0, 3.0,   3327,  14.9,  58.9,  15.9, 0
 4200, 4.0,  0.5, 0.0, 2.2,  60000, 10.0, 3.0,   1791,  27.6, 101.1,  29.4, 0
 4200, 4.0,  0.5, 0.0, 1.02,  60000,  1.0, 3.0,   5102,   7.8,   9.6,   7.9, 0
 4200, 4.0,  0.5, 0.0, 1.02,  60000,  5.0, 3.0,   3191,  12.4,  15.6,  12.6, 0
 4200, 4.0,  0.5, 0.0, 1.02,  60000, 10.0, 3.0,   1623,  24.2,  30.8,  24.6, 0
 4200, 4.0,  0.5, 0.0, 0.9,  75000,  1.0, 3.0,   7085,   4.6,   8.1,   4.7, 0
 4200, 4.0,  0.5, 0.0, 0.9,  75000,  5.0, 3.0,   4144,   7.8,  13.8,   8.1, 0
 4200, 4.0,  0.5, 0.0, 0.9,  75000, 10.0, 3.0,   2150,  14.9,  25.8,  15.5, 0
 4200, 4.0,  0.5, 0.0, 1.25,  75000,  1.0, 3.0,   4246,   7.3,  19.7,   7.7, 0
 4200, 4.0,  0.5, 0.0, 1.25,  75000,  5.0, 3.0,   2578,  12.0,  33.9,  12.6, 0
 4200, 4.0,  0.5, 0.0, 1.25,  75000, 10.0, 3.0,   1377,  22.4,  67.4,  23.5, 0
 4200, 4.0,  0.5, 0.0, 1.65,  75000,  1.0, 3.0,   7591,   3.8,   6.4,   3.9, 0
 4200, 4.0,  0.5, 0.0, 1.65,  75000,  5.0, 3.0,   4632,   6.2,  10.4,   6.4, 0
 4200, 4.0,  0.5, 0.0, 1.65,  75000, 10.0, 3.0,   2461,  11.7,  19.5,  12.0, 0
 4200, 4.0,  0.5, 0.0, 2.2,  75000,  1.0, 3.0,   6089,   7.3,  29.9,   7.8, 0
 4200, 4.0,  0.5, 0.0, 2.2,  75000,  5.0, 3.0,   3642,  12.2,  48.4,  13.0, 0
 4200, 4.0,  0.5, 0.0, 2.2,  75000, 10.0, 3.0,   1853,  23.9,  87.4,  25.5, 0
 4200, 4.0,  0.5, 0.0, 1.02,  75000,  1.0, 3.0,   6383,   5.6,   6.9,   5.6, 0
 4200, 4.0,  0.5, 0.0, 1.02,  75000,  5.0, 3.0,   3515,  10.1,  12.6,  10.2, 0
 4200, 4.0,  0.5, 0.0, 1.02,  75000, 10.0, 3.0,   1689,  20.9,  26.5,  21.2, 0
 4200, 4.0,  0.5, 0.0, 0.9,  80000,  1.0, 3.0,   7465,   4.2,   7.5,   4.4, 0
 4200, 4.0,  0.5, 0.0, 0.9,  80000,  5.0, 3.0,   4229,   7.4,  13.1,   7.7, 0
 4200, 4.0,  0.5, 0.0, 0.9,  80000, 10.0, 3.0,   2167,  14.4,  24.9,  14.9, 0
 4200, 4.0,  0.5, 0.0, 1.25,  80000,  1.0, 3.0,   4459,   6.7,  18.2,   7.1, 0
 4200, 4.0,  0.5, 0.0, 1.25,  80000,  5.0, 3.0,   2629,  11.4,  32.2,  12.0, 0
 4200, 4.0,  0.5, 0.0, 1.25,  80000, 10.0, 3.0,   1387,  21.5,  64.7,  22.6, 0
 4200, 4.0,  0.5, 0.0, 1.65,  80000,  1.0, 3.0,   7954,   3.5,   5.9,   3.6, 0
 4200, 4.0,  0.5, 0.0, 1.65,  80000,  5.0, 3.0,   4724,   5.9,   9.9,   6.1, 0
 4200, 4.0,  0.5, 0.0, 1.65,  80000, 10.0, 3.0,   2480,  11.2,  18.7,  11.5, 0
 4200, 4.0,  0.5, 0.0, 2.2,  80000,  1.0, 3.0,   6374,   6.8,  27.7,   7.2, 0
 4200, 4.0,  0.5, 0.0, 2.2,  80000,  5.0, 3.0,   3719,  11.6,  46.0,  12.3, 0
 4200, 4.0,  0.5, 0.0, 2.2,  80000, 10.0, 3.0,   1868,  22.9,  84.1,  24.5, 0
 4200, 4.0,  0.5, 0.0, 1.02,  80000,  1.0, 3.0,   6775,   5.1,   6.2,   5.1, 0
 4200, 4.0,  0.5, 0.0, 1.02,  80000,  5.0, 3.0,   3595,   9.5,  11.9,   9.7, 0
 4200, 4.0,  0.5, 0.0, 1.02,  80000, 10.0, 3.0,   1705,  20.0,  25.4,  20.3, 0
 4200, 4.0,  0.5, 0.0, 0.9, 100000,  1.0, 3.0,   8753,   3.2,   5.7,   3.3, 0
 4200, 4.0,  0.5, 0.0, 0.9, 100000,  5.0, 3.0,   4475,   6.3,  11.1,   6.5, 0
 4200, 4.0,  0.5, 0.0, 0.9, 100000, 10.0, 3.0,   2214,  12.6,  21.8,  13.0, 0
 4200, 4.0,  0.5, 0.0, 1.25, 100000,  1.0, 3.0,   5180,   5.2,  13.8,   5.5, 0
